               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  41,             0.10335,            0.053556,            0.025931,            0.006689,             0.22222,            0.063021,            0.012126,             0.10536,            0.055258,            0.026569,            0.062934,           0.0039336,           0.0039336
                  42,             0.10818,            0.067161,            0.026777,           0.0082508,             0.27778,            0.035006,            0.012673,             0.10444,             0.05522,            0.026343,            0.062025,           0.0040254,           0.0040254
                  42,             0.10818,            0.067161,            0.026777,           0.0082508,             0.27778,            0.035006,            0.012673,             0.10444,             0.05522,            0.026343,            0.062025,           0.0040254,           0.0040254
                  43,             0.11209,            0.069451,            0.026923,           0.0082508,             0.27778,            0.035006,            0.012673,             0.10444,             0.05522,            0.026343,            0.061117,           0.0041169,           0.0041169
                  43,             0.11209,            0.069451,            0.026923,           0.0082508,             0.27778,            0.035006,            0.012673,             0.10444,             0.05522,            0.026343,            0.061117,           0.0041169,           0.0041169
                  44,             0.10519,            0.041346,            0.027304,           0.0056818,             0.22222,            0.023597,           0.0066109,             0.10303,            0.055435,            0.025722,            0.060208,           0.0042083,           0.0042083
                  44,             0.10519,            0.041346,            0.027304,           0.0056818,             0.22222,            0.023597,           0.0066109,             0.10303,            0.055435,            0.025722,            0.060208,           0.0042083,           0.0042083
                  45,             0.10791,            0.048492,            0.027414,           0.0056818,             0.22222,            0.023597,           0.0066109,             0.10303,            0.055435,            0.025722,              0.0593,           0.0042995,           0.0042995
                  45,             0.10791,            0.048492,            0.027414,           0.0056818,             0.22222,            0.023597,           0.0066109,             0.10303,            0.055435,            0.025722,              0.0593,           0.0042995,           0.0042995
                  46,            0.099906,            0.045788,            0.026681,           0.0044248,             0.16667,           0.0055598,           0.0012197,             0.10389,            0.054723,            0.025955,            0.058391,           0.0043905,           0.0043905
                  46,            0.099906,            0.045788,            0.026681,           0.0044248,             0.16667,           0.0055598,           0.0012197,             0.10389,            0.054723,            0.025955,            0.058391,           0.0043905,           0.0043905
                  47,             0.10491,            0.055534,            0.026643,           0.0029586,             0.16667,           0.0029856,           0.0006855,             0.10389,            0.054723,            0.025955,            0.057481,           0.0044813,           0.0044813
                  47,             0.10491,            0.055534,            0.026643,           0.0029586,             0.16667,           0.0029856,           0.0006855,             0.10389,            0.054723,            0.025955,            0.057481,           0.0044813,           0.0044813
                  48,              0.1064,            0.064202,             0.02639,           0.0057471,             0.33333,           0.0078281,            0.001528,             0.10267,            0.055191,            0.025782,            0.056572,           0.0045719,           0.0045719
                  48,              0.1064,            0.064202,             0.02639,           0.0057471,             0.33333,           0.0078281,            0.001528,             0.10267,            0.055191,            0.025782,            0.056572,           0.0045719,           0.0045719
                  49,             0.10575,            0.049167,            0.027824,           0.0057471,             0.33333,           0.0078281,            0.001528,             0.10267,            0.055191,            0.025782,            0.055662,           0.0046623,           0.0046623
                  49,             0.10575,            0.049167,            0.027824,           0.0057471,             0.33333,           0.0078281,            0.001528,             0.10267,            0.055191,            0.025782,            0.055662,           0.0046623,           0.0046623
                  50,             0.10253,            0.051602,            0.027653,           0.0066667,             0.38889,             0.02441,           0.0062367,             0.10093,            0.056352,            0.025456,            0.054753,           0.0047525,           0.0047525
                  50,             0.10253,            0.051602,            0.027653,           0.0066667,             0.38889,             0.02441,           0.0062367,             0.10093,            0.056352,            0.025456,            0.054753,           0.0047525,           0.0047525
                  51,             0.10391,            0.067707,            0.027583,           0.0066667,             0.38889,             0.02441,           0.0062367,             0.10093,            0.056352,            0.025456,            0.053843,           0.0048425,           0.0048425
                  51,             0.10391,            0.067707,            0.027583,           0.0066667,             0.38889,             0.02441,           0.0062367,             0.10093,            0.056352,            0.025456,            0.053843,           0.0048425,           0.0048425
                  52,             0.10442,            0.058292,            0.025951,           0.0066667,             0.38889,             0.02441,           0.0062367,             0.10093,            0.056352,            0.025456,            0.052932,           0.0049323,           0.0049323
